vkontakte.ru,vkontakte.ru/,ВКонтакте.ру,7624369,80
mail.ru,mail.ru/,Почта Mail.Ru,5782162,75
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,2949737,88
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,2222639,87
mic_izvestia,iz.ru,Известия,2189361,84
hsdigital,www.hsdigital.ru/,Hearst Shkulev Digital,2044206,82
Lenta,lenta.ru,Lenta.Ru,2038755,84
kp,kp.ru,Комсомольская правда-Digital,1751357,74
go.mail.ru,go.mail.ru/,Поиск Mail.Ru,1685640,81
otvet.mail.ru,otvet.mail.ru/,Ответы Mail.Ru,1569144,86
russian.rt.com,russian.rt.com/,RT на русском,1506481,87
news.rambler.ru,news.rambler.ru/,Рамблер/медиа - главные новости и cобытия в России и мире,1488802,77
drom,www.drom.ru,"Drom.ru - продажа автомобилей, отзывы, форумы, каталоги",1310918,90
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1245429,87
hsdigital/wn,hearst-shkulev-media.ru,Women's Network Hearst Shkulev Media,1149650,76
vesti.ru,vesti.ru/,Информационный канал &quot;Вести&quot;,1113386,80
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1081313,86
smi2.ru,smi2.ru/,СМИ2 - Новостной агрегатор и новостная обменная сеть,973869,82
rg.ru,rg.ru/,Российская Газета: издание Правительства РФ,865527,91
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,809758,81
mail-my,my.mail.ru/,Мой Мир Mail.Ru,808589,76
Pikabu,pikabu.ru,Сообщество Пикабу,771257,78
dni.ru,dni.ru/,ДНИ ру - интернет-газета,675746,79
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,624737,79
Sportbox,www.sportbox.ru,Sportbox.ru,619445,90
irecommend.ru,irecommend.ru/,IRecommend - отзывы и рекомендации от реальных людей,616440,77
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,614159,83
NaPlatforme,mirtesen.ru,Рекомендательная социальная сеть МирТесен,613123,72
regnum.ru,www.regnum.ru/,ИА REGNUM,600342,87
Lentainform,lentainform.com/,Lentainform.com - Эффективная система рекомендации контента,598294,68
